NCIH1651	NCI-H1651	50033	H1651
NCIH1688	NCI-H1688	50371	
NCIH1693	NCI-H1693	50372	
NCIH1703	NCI-H1703	50034	H1703
NCIH1734	NCI-H1734	50373	
NCIH1755	NCI-H1755	50374	
NCIH1781	NCI-H1781	50375	
NCIH1792	NCI-H1792	50376	
NCIH1793	NCI-H1793	50377	
NCIH1869	NCI-H1869	50378	
NCIH1876	NCI-H1876	50379	
NCIH1915	NCI-H1915	50035	H1915
NCIH1944	NCI-H1944	50380	
NCIH196	NCI-H196	50381	
NCIH1993	NCI-H1993	50382	
NCIH2009	NCI-H2009	50383	
NCIH2023	NCI-H2023	50036	H2023
NCIH2029	NCI-H2029	50384	
NCIH2030	NCI-H2030	50385	
NCIH2073	NCI-H2073	50386	
NCIH2085	NCI-H2085	50387	
NCIH2087	NCI-H2087	50388	
NCIH2110	NCI-H2110	50389	
NCIH2122	NCI-H2122	50390	
NCIH2135	NCI-H2135	50391	
NCIH2170	NCI-H2170	50392	
NCIH2172	NCI-H2172	50393	
NCIH2195	NCI-H2195	50394	
NCIH2196	NCI-H2196	50395	
NCIH2198	NCI-H2198	50396	
NCIH2228	NCI-H2228	50397	
NCIH2286	NCI-H2286	50398	
NCIH2291	NCI-H2291	50399	
NCIH23	NCI-H23	50400	
NCIH2342	NCI-H2342	50401	
NCIH2347	NCI-H2347	50402	
NCIH2405	NCI-H2405	50403	
NCIH2444	NCI-H2444	50404	
NCIH2452	NCI-H2452	50405	
NCIH3122	NCI-H3122	50406	
NCIH322	NCI-H322	50407	
NCIH358	NCI-H358	50408	
NCIH441	NCI-H441	50409	
NCIH460	NCI-H460	50410	
NCIH520	NCI-H520	50411	
NCIH522	NCI-H522	50412	
NCIH596	NCI-H596	50413	
NCIH630	NCI-H630	50414	
NCIH647	NCI-H647	50415	
NCIH650	NCI-H650	50416	
NCIH661	NCI-H661	50417	
NCIH727	NCI-H727	50418	
NCIH810	NCI-H810	50037	H810
NCIH838	NCI-H838	50419	
NCIH841	NCI-H841	50420	
NCIN87	NCI-N87	50421	
NIHOVCAR3	NIH:OVCAR-3	50422	
