cell line	type	target	basal level
BT-549	TNBC	IGF1R	-2.2358
CAMA-1	HR+	IGF1R	-2.2498
HCC1187	TNBC	IGF1R	-3.2332
HCC1395	TNBC	IGF1R	-2.8443
HCC1419	HER2amp	IGF1R	-2.2601
HCC1428	HR+	IGF1R	-1.604
HCC1500	HR+	IGF1R	-1.6182
HCC1569	HER2amp	IGF1R	-1.1962
HCC1806	TNBC	IGF1R	-2.2232
HCC1937	TNBC	IGF1R	-2.7146
HCC1954	HER2amp	IGF1R	-2.1146
HCC202	HER2amp	IGF1R	-2.5164
HCC38	TNBC	IGF1R	-1.8824
HCC70	TNBC	IGF1R	-2.1884
Hs 578T	TNBC	IGF1R	-2.295
MCF 10A	TNBC	IGF1R	-1.0071
MCF 10F	TNBC	IGF1R	-2.0935
MCF-12A	TNBC	IGF1R	-1.8703
MCF7	HR+	IGF1R	-1.1297
MDA-MB-134-VI	HR+	IGF1R	-1.6537
MDA-MB-157	TNBC	IGF1R	-2.7953
MDA-MB-175-VII	HR+	IGF1R	-2.1344
MDA-MB-231	TNBC	IGF1R	-2.3245
MDA-MB-361	HER2amp	IGF1R	-1.8026
MDA-MB-415	HR+	IGF1R	-2.3021
MDA-MB-436	TNBC	IGF1R	-2.0055
MDA-MB-453	TNBC	IGF1R	-2.6536
MDA-MB-468	TNBC	IGF1R	-2.4085
SK-BR-3	HER2amp	IGF1R	-2.7331
T47D	HR+	IGF1R	-1.6322
UACC-812	HER2amp	IGF1R	-1.678
UACC-893	HER2amp	IGF1R	-3.6866
ZR-75-1	HR+	IGF1R	-1.908
ZR-75-30	HER2amp	IGF1R	-2.1301
184B5	TNBC	IGF2R	-1.6071
AU-565	HER2amp	IGF2R	-1.654
BT-20	TNBC	IGF2R	-2.4247
BT-474	HER2amp	IGF2R	-1.7344
BT-483	HR+	IGF2R	-1.8257
BT-549	TNBC	IGF2R	-1.1146
CAMA-1	HR+	IGF2R	-1.8982
HCC1187	TNBC	IGF2R	-1.2765
HCC1395	TNBC	IGF2R	-1.9248
HCC1419	HER2amp	IGF2R	-1.4173
HCC1428	HR+	IGF2R	-1.7164
HCC1500	HR+	IGF2R	-1.3502
HCC1569	HER2amp	IGF2R	-1.6773
HCC1806	TNBC	IGF2R	-1.8394
HCC1937	TNBC	IGF2R	-2.0325
HCC1954	HER2amp	IGF2R	-1.7768
HCC202	HER2amp	IGF2R	-1.8851
HCC38	TNBC	IGF2R	-1.8213
HCC70	TNBC	IGF2R	-2.0851
Hs 578T	TNBC	IGF2R	-1.6694
MCF 10A	TNBC	IGF2R	-1.5911
MCF 10F	TNBC	IGF2R	-2.0217
MCF-12A	TNBC	IGF2R	-2.0349
MCF7	HR+	IGF2R	-1.6618
MDA-MB-134-VI	HR+	IGF2R	-1.7492
MDA-MB-157	TNBC	IGF2R	-1.7841
MDA-MB-175-VII	HR+	IGF2R	-1.8983
MDA-MB-231	TNBC	IGF2R	-1.5066
MDA-MB-361	HER2amp	IGF2R	-1.7885
MDA-MB-415	HR+	IGF2R	-1.7961
MDA-MB-436	TNBC	IGF2R	-1.3625
MDA-MB-453	TNBC	IGF2R	-1.9221
MDA-MB-468	TNBC	IGF2R	-2.2113
SK-BR-3	HER2amp	IGF2R	-1.6474
T47D	HR+	IGF2R	-1.7456
UACC-812	HER2amp	IGF2R	-1.5206
UACC-893	HER2amp	IGF2R	-1.2074
ZR-75-1	HR+	IGF2R	-2.0316
ZR-75-30	HER2amp	IGF2R	-1.7523
184B5	TNBC	VEGFR1	-3.9647
AU-565	HER2amp	VEGFR1	-3.8847
BT-20	TNBC	VEGFR1	NaN
BT-474	HER2amp	VEGFR1	-3.1926
BT-483	HR+	VEGFR1	-3.1429
BT-549	TNBC	VEGFR1	-3.302
CAMA-1	HR+	VEGFR1	-3.9172
HCC1187	TNBC	VEGFR1	-3.1133
HCC1395	TNBC	VEGFR1	-3.4305
HCC1419	HER2amp	VEGFR1	NaN
HCC1428	HR+	VEGFR1	-3.376
HCC1500	HR+	VEGFR1	-3.2778
HCC1569	HER2amp	VEGFR1	-3.7141
HCC1806	TNBC	VEGFR1	NaN
HCC1937	TNBC	VEGFR1	NaN
HCC1954	HER2amp	VEGFR1	NaN
HCC202	HER2amp	VEGFR1	-3.3247
